date,hierarchy,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_audio_pandora_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_hulu_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_search_google_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_other_spend_usd,weather_population_weighted_average_precipitation_mm,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_sovi_ssd_percentage,macroeconomics_consumer_price_index_seasonally_adjusted,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,average_selling_price_relative_to_12_week_moving_average_ratio,bottler_promo_spend_usd,varying_intercept,holiday_effect
10-01-2022,brand18,0,0,0,0,0,0,0,0,0,0,0,577.9175573,0,0,0,0,0,910.7053541,0,0,0,0,0,0,0,36.67599072,0,0,0,0,0,0,0,0,28394.40143,-6404.697039,74888.91799,54288.33402,-28990.62326,-36974.29576,-28009.20393,-1639.886187,20871.84345,48696.08408,0,21119.36757,107789.968,-1204.714577,55825.46083,-67275.16601,0,1772709.909,28136.00688
10-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.7739049,0,0,0,0,0,0,0,0,0,1019.953373,0,0,0,0,0,-25113.46686,156741.271,145284.1616,-112696.8058,-30791.535,-153555.5557,-9034.754235,61581.24737,208954.5411,-12582.44176,73061.60857,355474.8376,-2156.064962,143636.3474,-260721.8375,567336.8214,4502580.436,-17702.22993
10-01-2022,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17128.8072,0,102578.4289,-85467.65735,813040.6532,0,0,47463.86305,158903.5389,0,60126.00836,261804.1409,0,99947.91557,-92402.34732,234868.4549,2733462.804,0.000000193
10-01-2022,brand4,0,0,0,0,0,0,5976.605278,0,0,0,0,0,0,0,0,0,0,0,0,147.245101,0,0,0,0,0,0,0,0,0,120.4394728,0,0,0,0,0,-23224.25863,230104.1898,143248.087,-102296.9467,-44878.86825,-128157.6891,-732.3475758,60151.46578,121399.3763,-15258.2646,64816.93884,334405.3496,-0.801733029,140061.9729,-157361.5089,564165.5649,4394122.908,0.000000118
10-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92729192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5391.649616,-54629.42956,56983.46354,-22774.79848,-37364.52227,-25654.02325,-336.5906061,18119.75069,28158.6774,-9.182318525,19709.68966,97875.32768,-331.0447982,58676.72998,-46492.52528,26543.91177,1007580.825,10221.56467
17-01-2022,brand0,0,0,0,0,0,0,890.2901075,8018.389616,0,0,0,821.5550442,1860.857458,0,0,0,0,0,0,371.105795,70433.22836,12981.32275,0,0,2721.710119,0,0,7988.065075,0,244.2155398,0,12887.55189,0,0,19304.71798,-29505.72369,468623.2113,318964.8752,-301086.917,-185394.8622,-417309.7861,-21139.12002,134490.1349,260729.3662,-84307.14453,238596.9631,834760.7592,-5921.142857,321738.7148,-353855.3171,2868118.633,8581111.251,-288591.7225
17-01-2022,brand1,0,0,0,0,14819.58687,0,1341.294464,0,0,0,0,57.83697745,0,0,0,0,546.5885266,0,0,1325.438481,0,0,0,0,0,0,0,0,0,408.2567809,0,0,0,0,0,-7666.523037,487753.286,112843.6615,-58743.23568,16614.50301,-55768.32854,-899.4356641,41261.6962,38443.00416,-54.24017731,67587.12218,232067.4074,-0.485003447,113707.8796,-112207.034,0,2375338.075,78394.07921
17-01-2022,brand10,0,0,32.49636285,0,148.6137208,0,0.619553719,11.95336933,45.45649121,49.14168134,0,6.98447974,61.98376619,0,0,0,0,0,0,0.158508126,222.6408903,286.1885858,0,0,50.51405137,0,0,962.7806612,0,0.472017325,6.168509558,67.85512496,0,0,9.769919413,-3260.071423,76563.37351,37309.26451,-28332.7619,-7956.324161,-27039.8294,-280.9275949,16198.21346,0,0,31280.8548,96890.44542,-1253.789555,38014.7085,-7596.10536,24602.15834,941333.383,24533.17818
17-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071714304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1498.664706,74131.13995,18601.93276,-12078.08802,-49329.34847,-10215.34171,-507.0721036,8421.639239,2850.340499,-99.12833154,16688.83181,48473.69719,-1202.576353,18968.64039,-8151.073243,12715.45488,454694.7131,36668.38645
17-01-2022,brand12,0,0,0,0,6910.713549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2369.099618,34943.66983,31474.46078,-20497.68704,-104663.1667,-15647.14926,-24.44165217,13123.93181,12977.62041,0,23726.12003,76559.00756,-63.69584534,32626.89886,-7607.657101,9986.584482,823411.9187,104550.5922
