date,hierarchy,owned_media_digital_social_linkedin_impressions,owned_media_digital_social_instagram_impressions,paid_media_digital_social_pinterest_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_social_other_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_social_facebook_impressions,owned_media_digital_video_youtube_views,paid_media_digital_search_other_spend_usd,average_selling_price_vs_competitor_average_selling_price_ratio,average_selling_price_relative_to_12_week_moving_average_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,commercial_execution_sovi_ssd_percentage,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_precipitation_mm,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,commercial_execution_socvi_nartd_percentage,competitor_paid_media_digital_internet_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,varying_intercept,holiday_effect
24-01-2022,brand2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9759.919,-8758.148938,26886.15177,65910.22478,0,24957.35991,-48521.70835,51120.59247,-27238.29936,0,68893.44796,71217.37199,0,135933.9359,-93369.95857,2270036.173,8447.619681
24-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.0753293,-46.22970435,32.54439017,71.12470883,0,27.42636863,-73.76399469,-76.66858884,-24.46543562,0,77.30756276,86.319681,0,234.6399986,-67.15554932,1200.041187,115.354705
24-01-2022,brand8,0,145.5099299,0,0,0,0,0,0,6280.435495,0,0,4379.947234,0,0,0,4216.647496,9162.4274,0,0,0,0,0,16212.42162,0,0,9686.979374,5769.69679,4334.241873,0,0,0,0,-15820.78814,-7048.485098,71492.19736,89116.65396,-28166.99709,32214.02061,-125226.9142,6709.377494,-34616.03445,0,98208.37089,90875.20568,0,214461.4446,-118213.2864,3293618.328,5.47013E-05
31-01-2022,brand0,0,841.6989688,0,0,143703.3952,0,0,0,103440.4171,0,0,16974.66924,0,0,0,0,48613.5327,0,0,0,0,0,35998.0232,0,0,115121.2132,54325.19764,25066.06578,0,10233.95866,297.6521799,165793.1799,-475689.5822,-366640.3966,1075974.295,640252.3714,-242648.2102,256204.8094,-774597.9663,488018.9093,-410391.5322,0,634259.2535,652148.3961,-67167.65983,1783750.233,-778145.5564,21016063.13,5.73697E-07
31-01-2022,brand1,0,0.990041769,0,0,0,0,0,0,38.206528,0,0,36.85100086,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71650546,43.63278067,23.41352737,0,11.30848849,0.322173479,0,-5916.854384,-1158.021753,693.7988051,2060.784361,0,829.7288607,-2257.227199,-1875.428505,-1104.236043,0,2286.532403,2251.133727,-1.159662161,5922.426659,-2079.62208,51216.70376,3.70517E-08
31-01-2022,brand13,0,28.02042575,0,0,0,0,0,0,181.5661921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.359520236,0,0,5.017570281,0,369.4360496,-2653.041268,-12521.99838,9847.556849,5209.561062,0,2133.699707,-4436.342002,6463.410346,-3519.692303,0,5292.655868,5500.717186,0,17573.93923,-7420.270424,188448.4231,1313.806191
31-01-2022,brand19,0,10.76017986,0,0,0,0,0,0,1262.022974,0,0,1037.737905,0,0,0,2643.790472,0,0,0,0,0,0,0,0,0,1145.012256,0.947305576,832.8597529,0,25.62859271,0,93.66974416,3844.451955,-17279.58779,61949.42806,28183.82102,0,11171.07533,-45717.08509,5694.30147,-21700.48133,0,30431.56552,30737.285,0,89838.6701,-38460.2267,1094363.474,5879.378934
31-01-2022,brand2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17436.27955,-52043.91478,93819.2801,77133.66884,0,29207.19419,-56784.16961,58222.67009,-50760.69102,0,80624.88662,83344.53728,0,226675.0069,-110067.1823,2575451.198,13274.67937
31-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-184.0207833,-71.72374484,45.79154857,79.95456926,0,30.83124735,-82.92151235,-85.49554128,-43.79576132,0,86.90500085,97.03593907,-0.05131232,299.7067411,-76.04386443,1277.442185,150.6352884
31-01-2022,brand8,0,80.89532946,0,0,0,0,0,0,5736.452587,0,0,2694.335708,0,0,0,6716.023823,8537.93167,0,0,0,0,0,12742.76676,0,0,8759.872014,2743.901145,5621.119016,0,0,0,0,-23827.75059,-50764.53126,144817.0983,97611.30199,-36138.28884,35284.67861,-137163.6119,6834.829547,-60377.46699,0,107569.6463,99537.47982,0,269135.3987,-130426.8519,3532249.02,8.88727E-06
