date,hierarchy,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_twitch_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_retail_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_other_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_connected_ott_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_display_google_spend_usd,weather_population_weighted_average_temperature_celsius,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,bottler_promo_spend_usd,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,average_selling_price_relative_to_12_week_moving_average_ratio,average_selling_price_vs_competitor_average_selling_price_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_social_spend_usd,varying_intercept,holiday_effect
24-01-2022,brand0,0,0,0,0,0,2.04154E-05,0,0,1.63495E-10,0,0,0,0,0,0,0,6.40886E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001983983,0.000109766,-0.005195571,0,0,0.003141995,-0.002868756,-0.001592518,0.013752541,-0.003387593,0.002946624,0,0.001647878,-6.67675E-05,0.002887965,0,0.03470593,3.89292E-18
24-01-2022,brand1,0,0,0,0,0,4.37064E-05,0,0,3.01049E-10,0,0,0,0,0,0,0,1.24084E-05,0,0,0,0,0,0,0,0.000193272,0,0,0,0,0,0,0.003534064,9.88473E-05,-0.011127482,0.002640479,0,0.005609633,-0.006446087,-0.001297238,0.024788019,-0.007273221,0.005313692,0,0.003070983,-0.000146688,0.005237901,0,0.063709435,2.96421E-08
24-01-2022,brand10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908042,-0.00047601,-0.002410142,0,0,0.001605162,-0.00163036,-0.001199302,0.004319972,-0.00202517,0.001513646,0,0.000947047,-3.88072E-05,0.001504005,0,0.018905497,6.68586E-05
24-01-2022,brand17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001215807,0.003044731,-0.002055889,0,0,0.001894227,-0.002887221,0.000764508,0.006526829,-0.003101885,0.001783595,0,0.001053311,-4.74065E-05,0.001740006,0,0.013193573,4.14074E-08
24-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003161563,-0.001747289,-0.008052033,0,0,0.005640677,-0.005460612,-0.00038399,0.015131693,-0.006546546,0.005205441,0,0.003435514,-0.00012655,0.005191273,0,0.073215628,1.98985E-08
24-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003126271,0.000192327,-0.011100982,0.003940865,0,0.005933733,-0.00580492,-0.002080776,0.025241269,-0.007383226,0.005681233,0,0.003542755,-0.000131967,0.005629607,0,0.074173867,2.17258E-12
24-01-2022,brand5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-01-2022,brand7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364518,3.95815E-05,-0.00132024,0,0,0.000696966,-0.000747379,0.000123268,0.002713869,-0.000921225,0.000663116,-7.30771E-05,0.000400236,-1.76633E-05,0.000649848,0,0.008257144,1.64309E-10
24-01-2022,brand8,5.99151E-05,0,0,0,0,1.38474E-06,0,0,0,0,0,0,0,0,0,0.000330538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002127514,0.001508135,-0.005404917,0,0,0.003694774,-0.003835862,-0.000338851,0.014684527,-0.004353262,0.003456244,0,0.001962021,-8.05132E-05,0.003373552,0,0.040602273,1.54723E-09
31-01-2022,brand0,0,0,0,0,0,6.62957E-05,0,0,0.000734584,0,0,0,0,0,0,0,6.91604E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000615676,0,0.008675512,0.000317068,-0.016279609,0,-2.35377E-06,0.009845009,-0.009146744,-0.00467426,0.043091697,-0.010689224,0.009232842,0,0.005163401,-0.000342581,0.009049041,-0.003321973,0.108213387,3.34937E-13
